Set Name,id,DisasterGroup,Disaster Subtype,Valence,Arousal,Liker Scale Length,Valence_Scaled,Arousal_Scaled
SMID,b4_p55_17,Technological,road accident ,1.5,4.156,5,0.125,0.789
SMID,b4_p58_17,Natural ,lightning ,3.312,3.719,5,0.578,0.67975
SMID,b6_p93_17,Technological,fire,1.623,3.906,5,0.15575,0.7265
SMID,b7_p103_9,Technological,air accident,1.464,4.074,5,0.116,0.7685
SMID,b8_p115_12,Technological,rail accident,1.727,3.697,5,0.18175,0.67425
SMID,b8_p115_20,Technological,fire,1.676,3.912,5,0.169,0.728
SMID,b8_p119_13,Technological,rail accident,1.344,4.156,5,0.086,0.789
SMID,b9_p124_7,Natural ,forest fire ,1.3,4.433,5,0.075,0.85825
SMID,b9_p124_8,Natural ,volcanic activity,2.838,2.75,5,0.4595,0.4375
SMID,b10_p134_20,Technological,air accident,1.233,3.567,5,0.05825,0.64175
SMID,b14_p260_3,Technological,road accident ,2,3.071,5,0.25,0.51775
SMID,b14_p260_4,Technological,road accident ,1.273,4,5,0.06825,0.75
SMID,b14_p260_5,Technological,road accident ,1.75,3.75,5,0.1875,0.6875
SMID,b14_p285_18,Natural ,flood,1.375,3.839,5,0.09375,0.70975
SMID,b14_p285_19,Natural ,flood,2.069,3.464,5,0.26725,0.616
SMID,b15_p293_19,Technological,collapse,1.357,4.357,5,0.08925,0.83925
SMID,b15_p331_8,Natural ,flood,1.679,3.857,5,0.16975,0.71425
SMID,b15_p335_7,Technological,fire,1.424,3.97,5,0.106,0.7425
SMID,b15_p379_10,Technological,road accident ,2,3,5,0.25,0.5
EXCEED,FL01,Natural ,flood,1.44,4.28,5,0.11,0.82
EXCEED,FL02,Natural ,flood,1.94,4.18,5,0.235,0.795
EXCEED,FL03,Natural ,flood,1.7,4.18,5,0.175,0.795
EXCEED,FL04,Natural ,flood,2.08,3.8,5,0.27,0.7
EXCEED,FL05,Natural ,flood,1.94,4.06,5,0.235,0.765
EXCEED,FL06,Natural ,flood,1.2,4.66,5,0.05,0.915
EXCEED,FL07,Natural ,flood,2.12,4.3,5,0.28,0.825
EXCEED,FL08,Natural ,flood,1.68,4.3,5,0.17,0.825
EXCEED,FL09,Natural ,flood,1.94,3.9,5,0.235,0.725
EXCEED,FL10,Natural ,flood,1.96,4.24,5,0.24,0.81
EXCEED,FL11,Natural ,flood,2.48,3.86,5,0.37,0.715
EXCEED,FL12,Natural ,flood,1.58,4.26,5,0.145,0.815
EXCEED,FL13,Natural ,flood,2,3.8,5,0.25,0.7
EXCEED,FL14,Natural ,flood,1.9,4.06,5,0.225,0.765
EXCEED,FL15,Natural ,flood,1.6,4.36,5,0.15,0.84
EXCEED,FL16,Natural ,flood,2.14,3.66,5,0.285,0.665
EXCEED,FL17,Natural ,flood,2.18,4.1,5,0.295,0.775
EXCEED,FL18,Natural ,flood,1.88,3.98,5,0.22,0.745
EXCEED,FL19,Natural ,flood,1.7,4.42,5,0.175,0.855
EXCEED,FL20,Natural ,flood,1.46,4.56,5,0.115,0.89
EXCEED,FL21,Natural ,flood,1.62,4.38,5,0.155,0.845
EXCEED,FL22,Natural ,flood,1.68,4.24,5,0.17,0.81
EXCEED,FL23,Natural ,flood,1.7,4.3,5,0.175,0.825
EXCEED,FL24,Natural ,flood,1.84,4.14,5,0.21,0.785
EXCEED,FL25,Natural ,flood,1.82,4.16,5,0.205,0.79
EXCEED,FL26,Natural ,flood,1.78,4.26,5,0.195,0.815
EXCEED,FL27,Natural ,flood,1.68,4.16,5,0.17,0.79
EXCEED,FL28,Natural ,flood,1.34,4.58,5,0.085,0.895
EXCEED,FL29,Natural ,flood,2,4.32,5,0.25,0.83
EXCEED,FL30,Natural ,flood,2,3.94,5,0.25,0.735
EXCEED,FL31,Natural ,flood,1.68,4.2,5,0.17,0.8
EXCEED,FL32,Natural ,flood,1.8,4.02,5,0.2,0.755
EXCEED,FL33,Natural ,flood,2.12,4.18,5,0.28,0.795
EXCEED,FL34,Natural ,flood,1.68,4.26,5,0.17,0.815
EXCEED,FL35,Natural ,flood,1.78,4.16,5,0.195,0.79
EXCEED,FL36,Natural ,flood,1.84,4.08,5,0.21,0.77
EXCEED,FL37,Natural ,flood,1.62,4.44,5,0.155,0.86
EXCEED,FL38,Natural ,flood,1.86,4.18,5,0.215,0.795
EXCEED,FL39,Natural ,flood,1.96,3.84,5,0.24,0.71
EXCEED,FL40,Natural ,flood,1.96,3.86,5,0.24,0.715
EXCEED,FL41,Natural ,flood,1.96,3.78,5,0.24,0.695
EXCEED,FL42,Natural ,flood,1.3,4.7,5,0.075,0.925
EXCEED,FL43,Natural ,flood,1.66,4.28,5,0.165,0.82
EXCEED,FL44,Natural ,flood,1.98,3.86,5,0.245,0.715
EXCEED,FL45,Natural ,flood,1.74,4.1,5,0.185,0.775
EXCEED,FL46,Natural ,flood,1.92,3.96,5,0.23,0.74
EXCEED,FL47,Natural ,flood,1.72,4.34,5,0.18,0.835
EXCEED,FL48,Natural ,flood,1.58,4.42,5,0.145,0.855
EXCEED,FL49,Natural ,flood,1.88,4.18,5,0.22,0.795
EXCEED,FL50,Natural ,flood,2,3.82,5,0.25,0.705
EXCEED,DR01,Natural ,drought,2.1,3.82,5,0.275,0.705
EXCEED,DR02,Natural ,drought,1.88,3.86,5,0.22,0.715
EXCEED,DR03,Natural ,drought,1.82,3.98,5,0.205,0.745
EXCEED,DR04,Natural ,drought,2.32,3.5,5,0.33,0.625
EXCEED,DR05,Natural ,drought,2.1,3.6,5,0.275,0.65
EXCEED,DR06,Natural ,drought,1.7,4.42,5,0.175,0.855
EXCEED,DR07,Natural ,drought,1.9,3.86,5,0.225,0.715
EXCEED,DR08,Natural ,drought,1.06,4.86,5,0.015,0.965
EXCEED,DR09,Natural ,drought,1.96,3.98,5,0.24,0.745
EXCEED,DR10,Natural ,drought,1.68,4.2,5,0.17,0.8
EXCEED,DR11,Natural ,drought,1.14,4.82,5,0.035,0.955
EXCEED,DR12,Natural ,drought,2.5,3.28,5,0.375,0.57
EXCEED,DR13,Natural ,drought,2.58,3.38,5,0.395,0.595
EXCEED,DR14,Natural ,drought,1.74,4.44,5,0.185,0.86
EXCEED,DR15,Natural ,drought,1.16,4.84,5,0.04,0.96
EXCEED,DR16,Natural ,drought,2.38,3.62,5,0.345,0.655
EXCEED,DR17,Natural ,drought,1.82,3.94,5,0.205,0.735
EXCEED,DR18,Natural ,drought,1.68,4.32,5,0.17,0.83
EXCEED,DR19,Natural ,drought,1.94,3.86,5,0.235,0.715
EXCEED,DR20,Natural ,drought,1.32,4.6,5,0.08,0.9
EXCEED,DR21,Natural ,drought,1.92,3.88,5,0.23,0.72
EXCEED,DR22,Natural ,drought,1.96,3.94,5,0.24,0.735
EXCEED,DR23,Natural ,drought,1.98,3.98,5,0.245,0.745
EXCEED,DR24,Natural ,drought,2.4,3.46,5,0.35,0.615
EXCEED,DR25,Natural ,drought,1.08,4.86,5,0.02,0.965
EXCEED,DR26,Natural ,drought,2.08,3.72,5,0.27,0.68
EXCEED,DR27,Natural ,drought,1.72,4.3,5,0.18,0.825
EXCEED,DR28,Natural ,drought,1.62,4.32,5,0.155,0.83
EXCEED,DR29,Natural ,drought,2.28,3.58,5,0.32,0.645
EXCEED,DR30,Natural ,drought,2.38,3.46,5,0.345,0.615
EXCEED,DR31,Natural ,drought,2.66,3.16,5,0.415,0.54
EXCEED,DR32,Natural ,drought,1.08,4.88,5,0.02,0.97
EXCEED,DR33,Natural ,drought,1.92,3.84,5,0.23,0.71
EXCEED,DR34,Natural ,drought,2.36,3.5,5,0.34,0.625
EXCEED,DR35,Natural ,drought,2.08,3.78,5,0.27,0.695
EXCEED,DR36,Natural ,drought,1.84,4.06,5,0.21,0.765
EXCEED,DR37,Natural ,drought,2.2,3.68,5,0.3,0.67
EXCEED,DR38,Natural ,drought,2.28,3.64,5,0.32,0.66
EXCEED,DR39,Natural ,drought,1.66,4.54,5,0.165,0.885
EXCEED,DR40,Natural ,drought,2.12,3.6,5,0.28,0.65
EXCEED,DR41,Natural ,drought,2.14,3.74,5,0.285,0.685
EXCEED,DR42,Natural ,drought,1.1,4.86,5,0.025,0.965
EXCEED,DR43,Natural ,drought,1.48,4.44,5,0.12,0.86
EXCEED,DR44,Natural ,drought,1.58,4.44,5,0.145,0.86
EXCEED,DR45,Natural ,drought,1.28,4.62,5,0.07,0.905
EXCEED,DR46,Natural ,drought,2.1,3.8,5,0.275,0.7
EXCEED,DR47,Natural ,drought,1.06,4.74,5,0.015,0.935
EXCEED,DR48,Natural ,drought,1.74,4.26,5,0.185,0.815
EXCEED,DR49,Natural ,drought,2.66,3.1,5,0.415,0.525
EXCEED,DR50,Natural ,drought,1.74,4.2,5,0.185,0.8
IAPS,5920,Natural ,volcanic activity,5.16,6.23,9,0.52,0.65375
IAPS,5940,Natural ,volcanic activity,4.23,6.29,9,0.40375,0.66125
IAPS,5950,Natural ,lightning ,5.99,6.79,9,0.62375,0.72375
IAPS,5961,Natural ,tornado,3.52,5.8,9,0.315,0.6
IAPS,5970,Natural ,tornado,4.14,4.88,9,0.3925,0.485
IAPS,5971,Natural ,tornado,3.49,6.65,9,0.31125,0.70625
IAPS,5972,Natural ,tornado,3.85,6.34,9,0.35625,0.6675
IAPS,5973,Natural ,tornado,3.51,5.78,9,0.31375,0.5975
IAPS,8485,Technological,fire,2.73,6.46,9,0.21625,0.6825
IAPS,9050,Technological,air accident,2.43,6.36,9,0.17875,0.67
IAPS,9110,Technological,chemical spill,3.76,3.98,9,0.345,0.3725
IAPS,9230,Technological,fire,3.89,5.77,9,0.36125,0.59625
IAPS,9560,Technological,chemical spill,2.12,5.5,9,0.14,0.5625
IAPS,9600,Technological,water accident ,2.48,6.46,9,0.185,0.6825
IAPS,9610,Technological,air accident,2.89,5.23,9,0.23625,0.52875
IAPS,9611,Technological,air accident,2.71,5.75,9,0.21375,0.59375
IAPS,9620,Technological,water accident ,2.7,6.11,9,0.2125,0.63875
IAPS,9621,Technological,water accident ,3.22,5.76,9,0.2775,0.595
IAPS,9623,Technological,fire,3.04,6.05,9,0.255,0.63125
IAPS,9900,Technological,road accident ,2.46,5.58,9,0.1825,0.5725
IAPS,9901,Technological,road accident ,2.27,5.7,9,0.15875,0.5875
IAPS,9902,Technological,road accident ,2.33,6,9,0.16625,0.625
IAPS,9903,Technological,road accident ,2.36,5.71,9,0.17,0.58875
IAPS,9904,Technological,road accident ,2.39,6.08,9,0.17375,0.635
IAPS,9905,Technological,road accident ,2.55,5.93,9,0.19375,0.61625
IAPS,9908,Technological,road accident ,2.34,6.63,9,0.1675,0.70375
IAPS,9909,Technological,road accident ,2.78,5.98,9,0.2225,0.6225
IAPS,9910,Technological,road accident ,2.06,6.2,9,0.1325,0.65
IAPS,9911,Technological,road accident ,2.3,5.76,9,0.1625,0.595
IAPS,9912,Technological,road accident ,3.46,4.68,9,0.3075,0.46
IAPS,9920,Technological,road accident ,2.5,5.76,9,0.1875,0.595
IAPS,9921,Technological,fire,2.04,6.52,9,0.13,0.69
IAPS,9922,Technological,fire,2.78,5.21,9,0.2225,0.52625
IAPS,9925,Technological,fire,2.84,5.59,9,0.23,0.57375
IAPS,9926,Natural ,flood,3.85,4.83,9,0.35625,0.47875
IAPS,9927,Natural ,flood,2.71,5.29,9,0.21375,0.53625
IAPS,9930,Technological,water accident ,3.12,5.71,9,0.265,0.58875
COMPASS,NegHighNonsoc_1,Technological,road accident ,1.949591281,5.43,9,0.11869891,0.55375
COMPASS,NegHighNonsoc_13,Technological,road accident ,1.977748691,5.500719424,9,0.122218586,0.562589928
COMPASS,NegHighNonsoc_15,Natural ,mass movement,2.386034256,5.809192201,9,0.173254282,0.601149025
COMPASS,NegHighNonsoc_16,Natural ,flood,2.396276596,4.723098996,9,0.174534574,0.465387374
COMPASS,NegHighNonsoc_18,Technological,road accident ,1.975098296,5.533523538,9,0.121887287,0.566690442
COMPASS,NegHighNonsoc_19,Technological,fire,1.925098555,5.847457627,9,0.115637319,0.605932203
COMPASS,NegHighNonsoc_20,Technological,fire,1.946194226,6.059163059,9,0.118274278,0.632395382
COMPASS,NegHighSoc_2,Technological,fire,2.035294118,5.591168091,9,0.129411765,0.573896011
COMPASS,NegHighSoc_20,Natural ,tsunami,3.422554348,5.843706777,9,0.302819293,0.605463347
COMPASS,NegMidNonsoc_3,Natural ,mass movement,2.498023715,4.972463768,9,0.187252964,0.496557971
COMPASS,NegMidNonsoc_4,Technological,road accident ,2.796296296,4.095577746,9,0.224537037,0.386947218
COMPASS,NegMidNonsoc_7,Technological,air accident,2.95212766,4.96991404,9,0.244015957,0.496239255
COMPASS,NegMidNonsoc_9,Technological,road accident ,2.002645503,5.3930131,9,0.125330688,0.549126638
COMPASS,NegMidNonsoc_11,Technological,road accident ,2.65171504,4.3125,9,0.20646438,0.4140625
COMPASS,NegMidNonsoc_12,Natural ,flood,2.734126984,4.720338983,9,0.216765873,0.465042373
COMPASS,NegMidNonsoc_14,Natural ,mass movement,2.786188579,4.272859216,9,0.223273572,0.409107402
COMPASS,NegMidNonsoc_17,Technological,road accident ,3.283244681,4.283261803,9,0.285405585,0.410407725
COMPASS,NegMidNonsoc_18,Technological,fire,2.155287818,5.298050139,9,0.144410977,0.537256267
